FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
James Gallagher,Ireland,male,66,Married (first marriage),Retired,Industry not stated,Upper secondary,Computer science,Leitrim
Giorgio Marino,Italy,male,33,Married (first marriage),Employee,Manufacturing (C),Lower secondary,Building and civil engineering,South Tipperary
Samuel O'Brien,Ireland,male,43,Married (first marriage),Employee,Human health and social work activities (Q),Postgraduate diploma or degree,Business and administration (broad programmes),North Tipperary
Sean O'Moore,Ireland,male,63,Separated (including deserted),Retired,Industry not stated,Lower secondary,Other social sciences/business and law subjects,South Dublin
Evan O'Brien,Ireland,male,24,Single,Student or pupil,Agriculture/forestry and fishing (A),Primary,Engineering and engineering trades (broad programmes),Dublin City
Daragh Moore,Ireland,male,45,Married (first marriage),Employee,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Electricity and energy,Galway County
Olivia Murphy,Ireland,female,28,Married (first marriage),Employee,Financial and insurance activities (K),Upper secondary,Hair and beauty services,Galway County
Noah O'Brien,Ireland,male,26,Single,Student or pupil,Manufacturing (C),Lower secondary,Engineering and engineering trades (broad programmes),South Dublin
Filip Gallagher,Ireland,male,30,Single,Employee,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Building and civil engineering,South Dublin
Sarah O'Reilly,Ireland,female,58,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Nursing and caring,Kildare
Conor O'Neill,Ireland,male,55,Married (first marriage),Student or pupil,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Education and teacher training,Cork County
Cillian O'Reilly,Ireland,male,77,Single,Retired,Industry not stated,Upper secondary,Other agriculture and veterinary,Kerry
Oliver O'Connor,Ireland,male,37,Single,Employee,Water supply; sewerage/waste management and remediation activities (E),Honours bachelor degree/professional qualification or both,Child care and youth services,Mayo
Kamal Rao,India,male,25,Single,Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Electricity and energy,Mayo
Benjamin Byrne,Ireland,male,25,Single,Student or pupil,Professional/scientific and technical activities (M),Upper secondary,Marketing and advertising,South Dublin
Jakub Murphy,Ireland,male,19,Single,Student or pupil,Information and communication (J),Primary,Economics,Fingal
Alisha Murphy,Ireland,female,67,Married (first marriage),Retired,Industry not stated,Higher certificate,Social work and counselling,Clare
Emer O'Neill,Ireland,female,56,Married (first marriage),Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Economics,Sligo
Monika Gehring,Germany,female,38,Single,Employee,Education (P),Honours bachelor degree/professional qualification or both,Education and teacher training,Laois
Adam O'Neill,Ireland,male,54,Single,Unable to work due to permanent sickness or disability,Public administration and defence; compulsory social security (O),Technical/vocational,Design,Offaly
Tadhg O'Connor,Ireland,male,55,Married (first marriage),Employee,Administrative and support service activities (N),Lower secondary,Other engineering/manufacturing and construction,Cork County
Narani Jansen,Netherlands,female,62,Married (first marriage),Employee,Transportation and storage (H),Lower secondary,Other subjects,Waterford County
Abigail O'Sullivan,Ireland,female,22,Single,Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Hotel/restaurant and catering,South Dublin
Michelle Wang,China,female,38,Single,Unemployed having lost or given up previous job,Other service activities (S),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),South Tipperary
Isabelle Doyle,Ireland,female,53,Single,Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Education and teacher training,Kerry
Roisin O'Reilly,Ireland,female,28,Single,Employee,Professional/scientific and technical activities (M),Postgraduate diploma or degree,Accounting and taxation,Sligo
Daniel O'Brien,Ireland,male,17,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Computer science,Meath
Aisling Ryan,Ireland,female,51,Divorced,Employee,Education (P),Primary,Other social sciences/business and law subjects,South Dublin
Anthony Ryan,Ireland,male,49,Single,Employee,Accommodation and food service activities (I),Higher certificate,Hotel/restaurant and catering,Dun Laoghaire-Rathdown
Emma O'Neill,Ireland,female,30,Re-married (following dissolution of previous marriage),Looking after home/family,Financial and insurance activities (K),Advanced certificate/completed apprenticeship,Nursing and caring,Galway County
Thomas O'Connor,Ireland,male,24,Single,Student or pupil,Professional/scientific and technical activities (M),Primary,Hotel/restaurant and catering,Kerry
Anna Doyle,Ireland,female,30,Married (first marriage),Employee,Education (P),Primary,Medicine,Cork County
Nicole O'Brien,Ireland,female,55,Married (first marriage),Unemployed having lost or given up previous job,Information and communication (J),Lower secondary,Design,Cork County
Brooke O'Kelly,Ireland,female,75,Married (first marriage),Retired,Industry not stated,Primary,Education and teacher training,Cavan
Filip Florczak,Poland,male,28,Single,Employee,Construction (F),Ordinary bachelor degree/professional qualification or both,Computer use,Leitrim
Katie O'Brien,Ireland,female,20,Single,Unemployed looking for first regular job,Financial and insurance activities (K),Technical/vocational,Business and administration (broad programmes),Wicklow
Emily O'Neill,Ireland,female,35,Single,Employer or own account worker,Information and communication (J),Technical/vocational,Other social sciences/business and law subjects,Monaghan
Adam Byrne,Ireland,male,50,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Management and administration,Mayo
Ryan O'Neill,Ireland,male,48,Divorced,Unemployed having lost or given up previous job,Construction (F),Upper secondary,Sea transportation,Dublin City
Alannah Murphy,Ireland,female,51,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Other health and welfare,Fingal
Kieran O'Brien,Ireland,male,21,Single,Unemployed looking for first regular job,Other service activities (S),Upper secondary,Motor vehicles/ships and aircraft,Dublin City
Andrew Murphy,Ireland,male,16,Single,Student or pupil,Agriculture/forestry and fishing (A),Upper secondary,Hotel/restaurant and catering,Dublin City
Maya O'Brien,Ireland,female,35,Divorced,Employee,Education (P),Lower secondary,Hotel/restaurant and catering,Dublin City
Samuel Williams,New Zealand,male,30,Single,Looking after home/family,Public administration and defence; compulsory social security (O),Lower secondary,Mechanics and metalwork,Cork City
Marcus Murphy,Ireland,male,27,Single,Employee,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Education and teacher training,Cork City
Oisin Moore,Ireland,male,21,Single,Student or pupil,Transportation and storage (H),Technical/vocational,Business and administration (broad programmes),Clare
Rachel Murray,Ireland,female,81,Married (first marriage),Retired,Industry not stated,Primary,Nursing and caring,Cork City
Joseph O'Kelly,Ireland,male,41,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Motor vehicles/ships and aircraft,Westmeath
Hazel Murphy,Ireland,female,69,Married (first marriage),Employer or own account worker,Human health and social work activities (Q),Primary,Crop and livestock production,Wexford
Emma O'Sullivan,Ireland,female,23,Single,Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Education and teacher training,Longford
Chloe McCarthy,Ireland,female,33,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Nursing and caring,Cork County
Mia O'Reilly,Ireland,female,65,Widowed,Retired,Industry not stated,Upper secondary,Other arts,Monaghan
Aidan O'Kelly,Ireland,male,55,Married (first marriage),Employee,Accommodation and food service activities (I),Ordinary bachelor degree/professional qualification or both,Crop and livestock production,Cork County
Mason O'Sullivan,Ireland,male,56,Single,Employee,Professional/scientific and technical activities (M),Ordinary bachelor degree/professional qualification or both,Building and civil engineering,Cavan
Emily Murphy,Ireland,female,15,Single,Student or pupil,Human health and social work activities (Q),Upper secondary,Computer use,Meath
Charisse Garcia,Philippines,female,40,Married (first marriage),Employee,Other service activities (S),Advanced certificate/completed apprenticeship,Business and administration (broad programmes),Waterford County
Grace O'Sullivan,Ireland,female,31,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Physical sciences (physics/chemistry/earth science),Dun Laoghaire-Rathdown
William Doyle,Ireland,male,16,Single,Student or pupil,Information and communication (J),Lower secondary,Building and civil engineering,Mayo
Sophie O'Moore,Ireland,female,17,Single,Student or pupil,Human health and social work activities (Q),Primary,Hair and beauty services,Dublin City
Hannah Murphy,Ireland,female,42,Married (first marriage),Looking after home/family,Accommodation and food service activities (I),Technical/vocational,Education and teacher training,Galway County
Donal O'Moore,Ireland,male,48,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Other engineering/manufacturing and construction,Cork City
Nicola O'Byrne,Ireland,female,65,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Hotel/restaurant and catering,Monaghan
Lara Murphy,Ireland,female,30,Married (first marriage),Employee,Financial and insurance activities (K),Advanced certificate/completed apprenticeship,Other social sciences/business and law subjects,Dublin City
Noah Byrne,Ireland,male,57,Married (first marriage),Looking after home/family,Arts/entertainment and recreation (R),Upper secondary,Hotel/restaurant and catering,Laois
Sophie O'Connor,Ireland,female,81,Widowed,Retired,Industry not stated,Lower secondary,Hotel/restaurant and catering,Limerick County
James O'Reilly,Ireland,male,35,Married (first marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Other social sciences/business and law subjects,Fingal
Emer Murphy,Ireland,female,26,Single,Employee,Manufacturing (C),Postgraduate diploma or degree,Computer use,Cork County
Sarah Byrne,Ireland,female,63,Married (first marriage),Employer or own account worker,Education (P),Primary,Other arts,Offaly
Alfie O'Brien,Ireland,male,21,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Electricity and energy,Carlow
Leah O'Kelly,Ireland,female,51,Married (first marriage),Retired,Industry not stated,Primary,Mother tongue,Fingal
Michael Kennedy,Ireland,male,42,Single,Student or pupil,Agriculture/forestry and fishing (A),Primary,Hair and beauty services,Cork County
Ronan McCarthy,Ireland,male,24,Single,Student or pupil,Construction (F),Lower secondary,Other engineering/manufacturing and construction,Westmeath
Darragh Kelly,Ireland,male,39,Single,Employee,Administrative and support service activities (N),Lower secondary,Building and civil engineering,South Tipperary
Zara Murphy,Ireland,female,29,Single,Employee,Education (P),Upper secondary,Sea transportation,Limerick City
Molly O'Neill,Ireland,female,29,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Management and administration,Dublin City
Sarah O'Kelly,Ireland,female,20,Single,Student or pupil,Accommodation and food service activities (I),Lower secondary,Education and teacher training,Dublin City
Ethan Barton,New Zealand,male,41,Married (first marriage),Looking after home/family,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Electricity and energy,Dun Laoghaire-Rathdown
Megan McCarthy,Ireland,female,77,Single,Retired,Industry not stated,Technical/vocational,Audio-visual techniques and media production,Kilkenny
Casey Murphy,Ireland,female,71,Married (first marriage),Retired,Industry not stated,Primary,Social work and counselling,Wicklow
Holly O'Sullivan,Ireland,female,55,Married (first marriage),Employee,Arts/entertainment and recreation (R),Primary,Physical sciences (physics/chemistry/earth science),Dublin City
Kian O'Reilly,Ireland,male,59,Separated (including deserted),Employer or own account worker,Electricity/gas/steam and air conditioning supply (D),Primary,Business and administration (broad programmes),Kilkenny
Shay Walsh,Ireland,male,41,Single,Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Other social sciences/business and law subjects,Waterford City
Saoirse O'Connor,Ireland,female,47,Married (first marriage),Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Law,Roscommon
Michael Murphy,Ireland,male,34,Single,Employee,Manufacturing (C),Technical/vocational,Nursing and caring,South Dublin
Emily O'Brien,Ireland,female,24,Single,Employee,Education (P),Advanced certificate/completed apprenticeship,Accounting and taxation,South Dublin
Anna Murphy,Ireland,female,51,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Education and teacher training,Dublin City
Katarzyna Fronczek,Poland,female,57,Married (first marriage),Employer or own account worker,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Other health and welfare,Kildare
Max Gallagher,Ireland,male,65,Divorced,Looking after home/family,Agriculture/forestry and fishing (A),Advanced certificate/completed apprenticeship,Other agriculture and veterinary,Limerick City
Martin Meyer,United States of America,male,20,Single,Student or pupil,Information and communication (J),Upper secondary,Economics,Waterford City
Julia Moore,Ireland,female,65,Divorced,Retired,Industry not stated,Primary,Education and teacher training,Mayo
Darragh O'Ryan,Ireland,male,21,Single,Employee,Manufacturing (C),Upper secondary,Business and administration (broad programmes),Limerick City
Finn Murphy,Ireland,male,63,Married (first marriage),Retired,Industry not stated,Lower secondary,Engineering and engineering trades (broad programmes),Fingal
Finn O'Sullivan,Ireland,male,26,Married (first marriage),Employee,Manufacturing (C),Upper secondary,Hotel/restaurant and catering,Galway County
Emma Murphy,Ireland,female,72,Married (first marriage),Employee,Manufacturing (C),Primary,Other health and welfare,South Dublin
Eoghan O'Neill,Ireland,male,41,Single,Employee,Information and communication (J),Upper secondary,Mother tongue,Meath
Victoria Murray,Ireland,female,34,Married (first marriage),Employee,Human health and social work activities (Q),Technical/vocational,Industrial security services,Kildare
Sean Murphy,Ireland,male,49,Married (first marriage),Employee,Construction (F),Lower secondary,Physical sciences (physics/chemistry/earth science),Mayo
Amelia O'Kelly,Ireland,female,45,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Marketing and advertising,Dun Laoghaire-Rathdown
Nicole O'Brien,Ireland,female,64,Married (first marriage),Employee,Accommodation and food service activities (I),Lower secondary,Accounting and taxation,Mayo
Callum McCarthy,Ireland,male,66,Widowed,Employee,Transportation and storage (H),Ordinary bachelor degree/professional qualification or both,History and archaeology,Wicklow
Hannah O'Neill,Ireland,female,40,Married (first marriage),Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Other social sciences/business and law subjects,South Tipperary
Sarah Gallagher,Ireland,female,43,Single,Employee,Other service activities (S),Ordinary bachelor degree/professional qualification or both,Psychology,Kildare
Anthony Lynch,Ireland,male,18,Single,Student or pupil,Education (P),Lower secondary,Other health and welfare,Fingal
Sophie Murphy,Ireland,female,44,Married (first marriage),Employee,Accommodation and food service activities (I),Ordinary bachelor degree/professional qualification or both,Education and teacher training,Dublin City
Sophie O'Moore,Ireland,female,15,Single,Student or pupil,Education (P),Primary,Secretarial and office work,South Dublin
Sebastian Schultze,Germany,male,62,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Engineering and engineering trades (broad programmes),Galway County
Stephen O'Sullivan,Ireland,male,19,Single,Student or pupil,Public administration and defence; compulsory social security (O),Lower secondary,Computer science,Dublin City
Oisin Quinn,Ireland,male,38,Married (first marriage),Employee,Education (P),Honours bachelor degree/professional qualification or both,Physical sciences (physics/chemistry/earth science),Dublin City
Layla O'Byrne,Ireland,female,28,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Higher certificate,Other health and welfare,Cork County
Evan O'Reilly,Ireland,male,28,Single,Student or pupil,Human health and social work activities (Q),Postgraduate diploma or degree,Economics,Cavan
Anna O'Brien,Ireland,female,61,Married (first marriage),Employee,Education (P),Primary,Education and teacher training,Dublin City
Martina Conti,Italy,female,31,Single,Unemployed having lost or given up previous job,Accommodation and food service activities (I),Higher certificate,Music and performing arts,Cork County
Niall O'Brien,Ireland,male,77,Widowed,Retired,Industry not stated,Upper secondary,Nursing and caring,Cork County
Aaron O'Sullivan,Ireland,male,49,Divorced,Employee,Education (P),Postgraduate diploma or degree,Other science/mathematics and computing,Monaghan
Sophia Murphy,Ireland,female,54,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Nursing and caring,Wexford
Rhys Doherty,Ireland,male,47,Divorced,Looking after home/family,Financial and insurance activities (K),Upper secondary,Marketing and advertising,Limerick City
Hollie Martins,Niger,female,32,Single,Employee,Manufacturing (C),Lower secondary,Other science/mathematics and computing,Meath
Caoimhe Doyle,Ireland,female,54,Married (first marriage),Employer or own account worker,Manufacturing (C),Postgraduate diploma or degree,Business and administration (broad programmes),Kerry
Caitlin Lynch,Ireland,female,42,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Medicine,Dun Laoghaire-Rathdown
Jan Boroski,Poland,male,34,Single,Employee,Information and communication (J),Technical/vocational,Other agriculture and veterinary,South Dublin
Clara Murphy,Ireland,female,78,Married (first marriage),Retired,Industry not stated,Primary,Design,Monaghan
roma Kassar,Pakistan,female,79,Single,Retired,Industry not stated,Primary,Education and teacher training,Galway County
Amy O'Quinn,Ireland,female,41,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Nursing and caring,Mayo
Katie O'Reilly,Ireland,female,17,Single,Unemployed looking for first regular job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Medicine,Limerick City
Joseph Smith,Ireland,male,26,Single,Employee,Mining and quarrying (B),Technical/vocational,Mother tongue,Cork County
Rian Doherty,Ireland,male,53,Divorced,Looking after home/family,Manufacturing (C),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),Kildare
Sadhbh O'Brien,Ireland,female,21,Single,Employee,Information and communication (J),Lower secondary,Nursing and caring,Mayo
Ciara Murphy,Ireland,female,23,Single,Employer or own account worker,Financial and insurance activities (K),Technical/vocational,Foreign languages,Dun Laoghaire-Rathdown
Ellie Murphy,Ireland,female,47,Married (first marriage),Unable to work due to permanent sickness or disability,Education (P),Ordinary bachelor degree/professional qualification or both,Marketing and advertising,Meath
Finn O'Brien,Ireland,male,48,Separated (including deserted),Employer or own account worker,Manufacturing (C),Upper secondary,Medicine,Dun Laoghaire-Rathdown
Alicia O'Ryan,Ireland,female,64,Separated (including deserted),Employee,Transportation and storage (H),Upper secondary,Mechanics and metalwork,Offaly
Ciaran O'Sullivan,Ireland,male,19,Single,Student or pupil,Transportation and storage (H),Lower secondary,Crop and livestock production,Wexford
Christian Murphy,Ireland,male,80,Single,Retired,Industry not stated,Primary,Building and civil engineering,Roscommon
Weronika Gondek,Poland,female,28,Single,Employer or own account worker,Education (P),Technical/vocational,Computer use,Dublin City
Sam O'Sullivan,Ireland,male,69,Single,Looking after home/family,Agriculture/forestry and fishing (A),Primary,Biology and biochemistry,Mayo
Sarah O'Gallagher,Ireland,female,25,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Nursing and caring,Cork County
Geronimo Jansen,Netherlands,male,18,Single,Employee,Information and communication (J),Upper secondary,Physical sciences (physics/chemistry/earth science),North Tipperary
Lauren Gallagher,Ireland,female,38,Married (first marriage),Employee,Education (P),Upper secondary,Nursing and caring,Carlow
Anna Dombrowski,Poland,female,59,Married (first marriage),Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Secretarial and office work,South Dublin
Eva O'Sullivan,Ireland,female,45,Divorced,Employee,Financial and insurance activities (K),Lower secondary,Secretarial and office work,Kildare
Ben Kelly,Ireland,male,56,Married (first marriage),Employee,Transportation and storage (H),Lower secondary,Other humanities,Mayo
Katie Murray,Ireland,female,64,Married (first marriage),Employee,Manufacturing (C),Primary,Medicine,Wicklow
Lauren O'Ryan,Ireland,female,71,Single,Retired,Industry not stated,Lower secondary,History and archaeology,Dun Laoghaire-Rathdown
Cameron Quinn,Ireland,male,65,Married (first marriage),Looking after home/family,Public administration and defence; compulsory social security (O),Primary,Management and administration,Mayo
Molly Murphy,Ireland,female,66,Re-married (following dissolution of previous marriage),Looking after home/family,Financial and insurance activities (K),Lower secondary,Other humanities,South Dublin
Alannah McCarthy,Ireland,female,35,Married (first marriage),Employer or own account worker,Professional/scientific and technical activities (M),Ordinary bachelor degree/professional qualification or both,Biology and biochemistry,Dublin City
Edit Araki,Hungary,female,46,Married (first marriage),Employee,Professional/scientific and technical activities (M),Upper secondary,Other social sciences/business and law subjects,Cork County
Mia O'Sullivan,Ireland,female,45,Married (first marriage),Employer or own account worker,Manufacturing (C),Upper secondary,Other agriculture and veterinary,Fingal
Andrea Mancini,Italy,male,41,Single,Employee,Professional/scientific and technical activities (M),Higher certificate,Marketing and advertising,Kilkenny
Faye McCarthy,Ireland,female,46,Single,Looking after home/family,Human health and social work activities (Q),Upper secondary,Education and teacher training,Dublin City
Julia Murphy,Ireland,female,49,Married (first marriage),Looking after home/family,Information and communication (J),Lower secondary,Education and teacher training,Longford
Emily O'Neill,Ireland,female,51,Separated (including deserted),Employer or own account worker,Manufacturing (C),Upper secondary,Economics,Clare
Emily O'Neill,Ireland,female,18,Single,Student or pupil,Education (P),Upper secondary,Physical sciences (physics/chemistry/earth science),Kildare
aqasha Mohamadi,Pakistan,male,51,Re-married (following dissolution of previous marriage),Retired,Industry not stated,Technical/vocational,Other engineering/manufacturing and construction,Meath
Harry O'Neill,Ireland,male,27,Married (first marriage),Employee,Financial and insurance activities (K),Upper secondary,Building and civil engineering,Mayo
Sarah O'Kelly,Ireland,female,41,Single,Employee,Professional/scientific and technical activities (M),Ordinary bachelor degree/professional qualification or both,Other science/mathematics and computing,Kerry
Holly Walsh,Ireland,female,28,Single,Employee,Transportation and storage (H),Higher certificate,Foreign languages,Limerick City
Ella Murphy,Ireland,female,58,Widowed,Looking after home/family,Education (P),Lower secondary,Child care and youth services,Kildare
Sarah McCarthy,Ireland,female,55,Married (first marriage),Employee,Manufacturing (C),Primary,Mother tongue,Waterford County
Caitlin O'Byrne,Ireland,female,26,Single,Employee,Education (P),Honours bachelor degree/professional qualification or both,Secretarial and office work,Cork City
Michael O'Sullivan,Ireland,male,60,Single,Unable to work due to permanent sickness or disability,Accommodation and food service activities (I),Lower secondary,Engineering and engineering trades (broad programmes),Limerick County
Ethan Mc Donald,New Zealand,male,22,Single,Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Accounting and taxation,Galway County
Oran McCarthy,Ireland,male,47,Married (first marriage),Unemployed having lost or given up previous job,Education (P),Lower secondary,Crop and livestock production,Donegal
Sarah O'Gallagher,Ireland,female,52,Married (first marriage),Employee,Education (P),Lower secondary,Medicine,Longford
Jyoti Dasgupta,India,female,31,Single,Unable to work due to permanent sickness or disability,Education (P),Honours bachelor degree/professional qualification or both,Nursing and caring,Dublin City
Ella Murphy,Ireland,female,30,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Other social sciences/business and law subjects,Sligo
Ella O'Reilly,Ireland,female,16,Single,Student or pupil,Manufacturing (C),Upper secondary,Secretarial and office work,Galway City
Kyle Quinn,Ireland,male,53,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Upper secondary,Building and civil engineering,Cavan
Martin O'Gallagher,Ireland,male,48,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Accounting and taxation,South Tipperary
Amelia O'Ryan,Ireland,female,31,Single,Employee,Accommodation and food service activities (I),Postgraduate diploma or degree,Business and administration (broad programmes),Dublin City
Alan Xu,China,male,27,Single,Employee,Public administration and defence; compulsory social security (O),Upper secondary,Computer use,Cork County
Ryan O'Kelly,Ireland,male,30,Single,Employee,Agriculture/forestry and fishing (A),Lower secondary,Education and teacher training,Mayo
Lily Murray,Ireland,female,62,Married (first marriage),Retired,Industry not stated,Primary,Law,Donegal
James O'Byrne,Ireland,male,61,Married (first marriage),Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Primary,Economics,Meath
Donnacha Murphy,Ireland,male,73,Widowed,Retired,Industry not stated,Advanced certificate/completed apprenticeship,Management and administration,Galway County
Rachel O'Sullivan,Ireland,female,50,Married (first marriage),Employee,Education (P),Lower secondary,Social work and counselling,Donegal
Marie Bernard,France,female,30,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Postgraduate diploma or degree,Hotel/restaurant and catering,Clare
Alexander O'Reilly,Ireland,male,18,Single,Student or pupil,Transportation and storage (H),Primary,Motor vehicles/ships and aircraft,Offaly
Stephen Murphy,Ireland,male,34,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Higher certificate,Business and administration (broad programmes),Laois
Sean Murphy,Ireland,male,34,Single,Looking after home/family,Construction (F),Technical/vocational,Motor vehicles/ships and aircraft,Longford
Amy Murphy,Ireland,female,53,Married (first marriage),Looking after home/family,Manufacturing (C),Lower secondary,Nursing and caring,Wicklow
Jason O'Sullivan,Ireland,male,74,Single,Retired,Industry not stated,Lower secondary,Education and teacher training,Meath
Jake O'Neill,Ireland,male,50,Married (first marriage),Employer or own account worker,Transportation and storage (H),Primary,Economics,Carlow
Callum O'Sullivan,Ireland,male,74,Married (first marriage),Retired,Industry not stated,Upper secondary,Crop and livestock production,Cork City
Lauren O'Brien,Ireland,female,67,Married (first marriage),Unemployed having lost or given up previous job,Administrative and support service activities (N),Lower secondary,Accounting and taxation,Meath
Aaron O'Brien,Ireland,male,52,Divorced,Employee,Education (P),Primary,Crop and livestock production,Donegal
Niamh McCarthy,Ireland,female,55,Re-married (following widowhood),Looking after home/family,Education (P),Primary,Psychology,Louth
Hannah O'Brien,Ireland,female,22,Single,Student or pupil,Information and communication (J),Honours bachelor degree/professional qualification or both,Hotel/restaurant and catering,Dublin City
Holly Murphy,Ireland,female,44,Married (first marriage),Employee,Financial and insurance activities (K),Upper secondary,Hotel/restaurant and catering,Dublin City
Ava Quinn,Ireland,female,26,Single,Unemployed having lost or given up previous job,Financial and insurance activities (K),Honours bachelor degree/professional qualification or both,Physical sciences (physics/chemistry/earth science),Cavan
Tom Berzins,Latvia,male,41,Married (first marriage),Employee,Agriculture/forestry and fishing (A),Lower secondary,Management and administration,Donegal
Maria McCarthy,Ireland,female,57,Married (first marriage),Unable to work due to permanent sickness or disability,Public administration and defence; compulsory social security (O),Primary,Mechanics and metalwork,Donegal
Darragh McCarthy,Ireland,male,20,Single,Looking after home/family,Construction (F),Honours bachelor degree/professional qualification or both,Other social sciences/business and law subjects,Dublin City
Danielle O'Neill,Ireland,female,52,Married (first marriage),Employee,Administrative and support service activities (N),Postgraduate diploma or degree,Economics,Roscommon
Amy McCarthy,Ireland,female,16,Single,Student or pupil,Education (P),Primary,Hotel/restaurant and catering,Mayo
Natalia O'Byrne,Ireland,female,32,Single,Employee,Administrative and support service activities (N),Lower secondary,Physical sciences (physics/chemistry/earth science),Wexford
Lorcan O'Brien,Ireland,male,61,Married (first marriage),Looking after home/family,Manufacturing (C),Lower secondary,Business and administration (broad programmes),Westmeath
Laoise Murphy,Ireland,female,73,Married (first marriage),Retired,Industry not stated,Primary,Other health and welfare,Dun Laoghaire-Rathdown
Conor Walsh,Ireland,male,28,Single,Employee,Accommodation and food service activities (I),Advanced certificate/completed apprenticeship,Economics,Laois
Adam Lynch,Ireland,male,31,Single,Employee,Real estate activities (L),Honours bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Clare
Alan Murphy,Ireland,male,43,Single,Employee,Construction (F),Upper secondary,Management and administration,Mayo
Adam Glowinski,Poland,male,32,Single,Unemployed having lost or given up previous job,Manufacturing (C),Postgraduate diploma or degree,Computer use,Cork County
Emma O'Brien,Ireland,female,32,Married (first marriage),Unemployed having lost or given up previous job,Education (P),Ordinary bachelor degree/professional qualification or both,Foreign languages,Dublin City
Saoirse O'Neill,Ireland,female,31,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Mechanics and metalwork,Louth
