FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Maria O'Brien,Ireland,female,22,Single,Employee,Education (P),Lower secondary,Nursing and caring,Cork County
Jamie O'Connor,Ireland,male,51,Single,Employer or own account worker,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Crop and livestock production,Donegal
Kaylee Smith,Canada,female,32,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Ordinary bachelor degree/professional qualification or both,Other health and welfare,Dun Laoghaire-Rathdown
Simon O'Reilly,Ireland,male,52,Single,Employee,Agriculture/forestry and fishing (A),Primary,Other engineering/manufacturing and construction,Kerry
Mia O'Brien,Ireland,female,43,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Other security services,Dun Laoghaire-Rathdown
Laura O'Brien,Ireland,female,31,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Law,South Tipperary
Michael Neves,Portugal,male,70,Married (first marriage),Retired,Industry not stated,Technical/vocational,Other agriculture and veterinary,Fingal
Mark O'Brien,Ireland,male,55,Re-married (following widowhood),Unable to work due to permanent sickness or disability,Agriculture/forestry and fishing (A),Higher certificate,Medicine,Waterford County
Sarah O'Brien,Ireland,female,41,Married (first marriage),Unemployed having lost or given up previous job,Financial and insurance activities (K),Upper secondary,Social work and counselling,Dublin City
Anna Janda,Poland,female,60,Married (first marriage),Employer or own account worker,Education (P),Technical/vocational,Design,Dun Laoghaire-Rathdown
Oisin O'Brien,Ireland,male,56,Widowed,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Motor vehicles/ships and aircraft,Kerry
Robert O'Sullivan,Ireland,male,61,Married (first marriage),Employee,Administrative and support service activities (N),Honours bachelor degree/professional qualification or both,Engineering and engineering trades (broad programmes),Wicklow
Nicole O'Brien,Ireland,female,36,Single,Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Child care and youth services,Dun Laoghaire-Rathdown
Adam Golab,Poland,male,30,Single,Employee,Manufacturing (C),Doctorate (Ph.D),Music and performing arts,Dublin City
Oisin Smith,Ireland,male,69,Married (first marriage),Retired,Industry not stated,Lower secondary,Audio-visual techniques and media production,Dun Laoghaire-Rathdown
Cian O'Brien,Ireland,male,47,Divorced,Looking after home/family,Administrative and support service activities (N),Honours bachelor degree/professional qualification or both,Marketing and advertising,Wicklow
Marta Garcia,Spain,female,16,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Computer use,Kilkenny
Bobbi Christian,United States of America,female,34,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Postgraduate diploma or degree,Hair and beauty services,Wexford
John Murphy,Ireland,male,33,Single,Employee,Construction (F),Upper secondary,Secretarial and office work,Waterford County
Kyle McCarthy,Ireland,male,53,Single,Unable to work due to permanent sickness or disability,Construction (F),Honours bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Cork County
Liam McCarthy,Ireland,male,53,Single,Unable to work due to permanent sickness or disability,Information and communication (J),Lower secondary,Crop and livestock production,Wicklow
Lucy O'Ryan,Ireland,female,54,Married (first marriage),Employer or own account worker,Accommodation and food service activities (I),Technical/vocational,Business and administration (broad programmes),Dublin City
Sebastian Lynch,Ireland,male,19,Single,Student or pupil,Transportation and storage (H),Lower secondary,Education and teacher training,Monaghan
Senan O'Sullivan,Ireland,male,52,Single,Looking after home/family,Transportation and storage (H),Technical/vocational,Other engineering/manufacturing and construction,Galway County
Jarco Janssen,Netherlands,male,54,Married (first marriage),Employee,Education (P),Upper secondary,Crop and livestock production,Wexford
Gary O'Neill,Ireland,male,38,Married (first marriage),Employee,Professional/scientific and technical activities (M),Lower secondary,Engineering and engineering trades (broad programmes),Cavan
Kayla O'Brien,Ireland,female,39,Married (first marriage),Employer or own account worker,Human health and social work activities (Q),Upper secondary,Medicine,Monaghan
Eabha O'Connor,Ireland,female,59,Widowed,Retired,Industry not stated,Doctorate (Ph.D),Business and administration (broad programmes),Cavan
Zara O'Sullivan,Ireland,female,74,Divorced,Retired,Industry not stated,Primary,Physical sciences (physics/chemistry/earth science),Dun Laoghaire-Rathdown
Harry McCarthy,Ireland,male,41,Divorced,Unemployed looking for first regular job,Education (P),Postgraduate diploma or degree,Management and administration,Galway County
Daire O'Neill,Ireland,male,58,Married (first marriage),Employee,Accommodation and food service activities (I),Primary,Mother tongue,Dun Laoghaire-Rathdown
Caitlin Quinn,Ireland,female,41,Married (first marriage),Employee,Education (P),Higher certificate,Mechanics and metalwork,Mayo
Mia Lynch,Ireland,female,57,Divorced,Looking after home/family,Agriculture/forestry and fishing (A),Technical/vocational,Hotel/restaurant and catering,Mayo
Sean Murphy,Ireland,male,29,Single,Employee,Other service activities (S),Honours bachelor degree/professional qualification or both,Education and teacher training,Dun Laoghaire-Rathdown
Leon O'Reilly,Ireland,male,51,Separated (including deserted),Employee,Agriculture/forestry and fishing (A),Upper secondary,Education and teacher training,Dublin City
Brigitte Martin,France,female,35,Divorced,Employee,Public administration and defence; compulsory social security (O),Primary,Other social sciences/business and law subjects,Fingal
Padraig O'Byrne,Ireland,male,60,Married (first marriage),Looking after home/family,Education (P),Lower secondary,Mechanics and metalwork,Donegal
Sadhbh Murphy,Ireland,female,17,Single,Student or pupil,Human health and social work activities (Q),Upper secondary,Social work and counselling,Dublin City
Aaron O'Neill,Ireland,male,24,Single,Employee,Transportation and storage (H),Upper secondary,Nursing and caring,Wexford
Aoibheann O'Sullivan,Ireland,female,60,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Lower secondary,Child care and youth services,Kerry
Grace Murphy,Ireland,female,41,Separated (including deserted),Employee,Information and communication (J),Upper secondary,Business and administration (broad programmes),Limerick County
Ben O'Reilly,Ireland,male,30,Married (first marriage),Looking after home/family,Transportation and storage (H),Upper secondary,Building and civil engineering,South Dublin
Michael O'Reilly,Ireland,male,31,Single,Employee,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Engineering and engineering trades (broad programmes),Donegal
Senan O'Reilly,Ireland,male,15,Single,Employee,Accommodation and food service activities (I),Primary,Secretarial and office work,Monaghan
Emma O'Byrne,Ireland,female,47,Single,Employer or own account worker,Human health and social work activities (Q),Lower secondary,Medicine,Limerick County
Rachel O'Neill,Ireland,female,66,Married (first marriage),Retired,Industry not stated,Lower secondary,Other agriculture and veterinary,Westmeath
Adriana Mrazik,Slovakia,female,43,Married (first marriage),Employee,Professional/scientific and technical activities (M),Upper secondary,Music and performing arts,Fingal
John O'Ryan,Ireland,male,20,Single,Employee,Information and communication (J),Lower secondary,Building and civil engineering,Galway County
Tadhg O'Sullivan,Ireland,male,35,Married (first marriage),Employer or own account worker,Transportation and storage (H),Higher certificate,Nursing and caring,Kildare
Rory O'Neill,Ireland,male,15,Single,Student or pupil,Human health and social work activities (Q),Upper secondary,Business and administration (broad programmes),Dun Laoghaire-Rathdown
Michael Quinn,Ireland,male,29,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Other social sciences/business and law subjects,Kilkenny
Joyce Haynes,United States of America,female,20,Single,Student or pupil,Human health and social work activities (Q),Honours bachelor degree/professional qualification or both,Accounting and taxation,Dublin City
Emmanuel O'Kelly,Ireland,male,62,Single,Employer or own account worker,Public administration and defence; compulsory social security (O),Upper secondary,Other subjects,Clare
Tomasz Boron,Poland,male,37,Separated (including deserted),Employee,Agriculture/forestry and fishing (A),Higher certificate,Motor vehicles/ships and aircraft,South Dublin
Laura O'Byrne,Ireland,female,45,Married (first marriage),Employee,Accommodation and food service activities (I),Ordinary bachelor degree/professional qualification or both,Medicine,Donegal
Paulina Grabski,Poland,female,70,Married (first marriage),Retired,Industry not stated,Upper secondary,Sea transportation,Fingal
Chloe O'Brien,Ireland,female,26,Single,Employer or own account worker,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Education and teacher training,Dun Laoghaire-Rathdown
Mary O'Reilly,Ireland,female,61,Married (first marriage),Looking after home/family,Arts/entertainment and recreation (R),Primary,Education and teacher training,Cork County
Luke O'Ryan,Ireland,male,45,Married (first marriage),Employer or own account worker,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Nursing and caring,Kerry
Ilaria Mancini,Italy,female,60,Single,Looking after home/family,Transportation and storage (H),Upper secondary,Physical sciences (physics/chemistry/earth science),Kilkenny
Kate Murray,Ireland,female,38,Married (first marriage),Employee,Education (P),Doctorate (Ph.D),Economics,Roscommon
Emma O'Brien,Ireland,female,41,Married (first marriage),Employee,Education (P),Honours bachelor degree/professional qualification or both,Nursing and caring,Cork County
Robyn McCarthy,Ireland,female,81,Single,Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Upper secondary,Business and administration (broad programmes),Dun Laoghaire-Rathdown
Millie O'Reilly,Ireland,female,27,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Postgraduate diploma or degree,Other social sciences/business and law subjects,South Dublin
Barry McCarthy,Ireland,male,49,Married (first marriage),Employee,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Engineering and engineering trades (broad programmes),Dublin City
Caitlin Gallagher,Ireland,female,25,Single,Employee,Education (P),Ordinary bachelor degree/professional qualification or both,Other social sciences/business and law subjects,Sligo
Ross O'Byrne,Ireland,male,42,Married (first marriage),Employee,Other service activities (S),Ordinary bachelor degree/professional qualification or both,Building and civil engineering,Cork City
Lily O'Brien,Ireland,female,23,Single,Student or pupil,Public administration and defence; compulsory social security (O),Upper secondary,Audio-visual techniques and media production,Clare
Michael Schultz,United States of America,male,76,Married (first marriage),Retired,Industry not stated,Primary,Education and teacher training,Kilkenny
Ben O'Neill,Ireland,male,63,Married (first marriage),Retired,Industry not stated,Ordinary bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Waterford City
Ciara O'Connor,Ireland,female,33,Single,Looking after home/family,Education (P),Postgraduate diploma or degree,Nursing and caring,Dublin City
Cian O'Byrne,Ireland,male,71,Married (first marriage),Unable to work due to permanent sickness or disability,Manufacturing (C),Upper secondary,Crop and livestock production,Cork City
Ronan Murphy,Ireland,male,63,Separated (including deserted),Looking after home/family,Manufacturing (C),Lower secondary,Accounting and taxation,Dublin City
Chloe O'Gallagher,Ireland,female,57,Married (first marriage),Employee,Agriculture/forestry and fishing (A),Technical/vocational,Education and teacher training,Cork County
Oisin Murphy,Ireland,male,26,Single,Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Hotel/restaurant and catering,Wicklow
Rian McCarthy,Ireland,male,34,Single,Employee,Public administration and defence; compulsory social security (O),Ordinary bachelor degree/professional qualification or both,Architecture and town planning,Wexford
Alison McCarthy,Ireland,female,19,Single,Student or pupil,Education (P),Upper secondary,Foreign languages,South Dublin
Aoife Murphy,Ireland,female,64,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Higher certificate,Management and administration,Clare
Megan O'Reilly,Ireland,female,33,Single,Unemployed having lost or given up previous job,Information and communication (J),Primary,Other personal services,Cork County
Michelle O'Neill,Ireland,female,41,Married (first marriage),Employer or own account worker,Human health and social work activities (Q),Upper secondary,Other humanities,Limerick City
Mark Smith,Ireland,male,58,Married (first marriage),Retired,Industry not stated,Ordinary bachelor degree/professional qualification or both,Mother tongue,Clare
Isabelle O'Reilly,Ireland,female,15,Single,Student or pupil,Education (P),Upper secondary,Crop and livestock production,Kildare
Rachel O'Gallagher,Ireland,female,20,Single,Employee,Accommodation and food service activities (I),Higher certificate,Electricity and energy,Louth
Niamh O'Sullivan,Ireland,female,37,Married (first marriage),Student or pupil,Education (P),Lower secondary,Medicine,Limerick County
Oisin Murray,Ireland,male,43,Married (first marriage),Employee,Professional/scientific and technical activities (M),Advanced certificate/completed apprenticeship,Other humanities,Cork City
Daniel O'Neill,Ireland,male,35,Married (first marriage),Employee,Education (P),Technical/vocational,Mechanics and metalwork,Cork County
Eabha Moore,Ireland,female,23,Single,Employee,Education (P),Advanced certificate/completed apprenticeship,Education and teacher training,Kildare
Samuel O'Kelly,Ireland,male,33,Married (first marriage),Unemployed having lost or given up previous job,Agriculture/forestry and fishing (A),Honours bachelor degree/professional qualification or both,Building and civil engineering,Limerick City
Sarah Smith,Ireland,female,31,Single,Employer or own account worker,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Hotel/restaurant and catering,Dublin City
Szymon O'Neill,Ireland,male,61,Married (first marriage),Retired,Industry not stated,Ordinary bachelor degree/professional qualification or both,Accounting and taxation,Clare
Layla Murphy,Ireland,female,38,Single,Employee,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Education and teacher training,Cork County
Ryan Lynch,Ireland,male,19,Single,Student or pupil,Transportation and storage (H),Upper secondary,Other personal services,Fingal
Rupinder Venkatesan,India,female,68,Married (first marriage),Retired,Industry not stated,Technical/vocational,Education and teacher training,Kerry
James Kelly,Ireland,male,36,Married (first marriage),Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Technical/vocational,Mechanics and metalwork,Dublin City
Mikel Cruz,Philippines,male,81,Widowed,Retired,Industry not stated,Upper secondary,Audio-visual techniques and media production,Dublin City
Seamus O'Reilly,Ireland,male,50,Married (first marriage),Employee,Agriculture/forestry and fishing (A),Primary,Other agriculture and veterinary,Cork County
Ciara Doyle,Ireland,female,47,Single,Employer or own account worker,Education (P),Technical/vocational,Nursing and caring,Wicklow
Aoife Murphy,Ireland,female,53,Divorced,Employee,Administrative and support service activities (N),Upper secondary,Other health and welfare,Donegal
maryus VLADIMIRESCU ,Romania,male,50,Separated (including deserted),Employee,Administrative and support service activities (N),Primary,Crop and livestock production,Longford
Patrick O'Kelly,Ireland,male,54,Married (first marriage),Looking after home/family,Electricity/gas/steam and air conditioning supply (D),Technical/vocational,Mechanics and metalwork,Waterford County
Millie O'Gallagher,Ireland,female,56,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Lower secondary,Electricity and energy,Galway County
Aisling O'Byrne,Ireland,female,45,Married (first marriage),Employer or own account worker,Human health and social work activities (Q),Primary,Engineering and engineering trades (broad programmes),Monaghan
Eva O'Brien,Ireland,female,33,Married (first marriage),Employee,Human health and social work activities (Q),Upper secondary,Nursing and caring,Donegal
Olivia Smith,Australia,female,34,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Ground transportation,Roscommon
Alfie O'Kelly,Ireland,male,44,Separated (including deserted),Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Technical/vocational,Education and teacher training,Dun Laoghaire-Rathdown
Aoife O'Sullivan,Ireland,female,54,Married (first marriage),Employee,Human health and social work activities (Q),Lower secondary,Medicine,Meath
Cian O'Brien,Ireland,male,38,Married (first marriage),Looking after home/family,Agriculture/forestry and fishing (A),Higher certificate,Accounting and taxation,Kilkenny
Fionn Walsh,Ireland,male,41,Single,Employer or own account worker,Transportation and storage (H),Advanced certificate/completed apprenticeship,Physical sciences (physics/chemistry/earth science),Limerick County
Jakub O'Sullivan,Ireland,male,79,Single,Retired,Industry not stated,Technical/vocational,Business and administration (broad programmes),Kerry
Aine McCarthy,Ireland,female,15,Single,Student or pupil,Administrative and support service activities (N),Technical/vocational,Other health and welfare,Fingal
Sarah O'Sullivan,Ireland,female,57,Married (first marriage),Employee,Human health and social work activities (Q),Primary,Nursing and caring,Kerry
Sean O'Sullivan,Ireland,male,41,Married (first marriage),Employee,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Music and performing arts,Clare
valentina CONSTANTINESCU ,Romania,female,25,Single,Employee,Human health and social work activities (Q),Technical/vocational,Other social sciences/business and law subjects,Kildare
Hannah O'Sullivan,Ireland,female,54,Divorced,Unable to work due to permanent sickness or disability,Professional/scientific and technical activities (M),Lower secondary,Nursing and caring,Fingal
Emma Williams,Canada,female,40,Married (first marriage),Looking after home/family,Education (P),Upper secondary,Hotel/restaurant and catering,Dun Laoghaire-Rathdown
Justyna Jablonski,Poland,female,37,Married (first marriage),Employee,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Education and teacher training,Louth
Sinead McCarthy,Ireland,female,28,Single,Employee,Financial and insurance activities (K),Upper secondary,Hotel/restaurant and catering,Cork County
Millie O'Kelly,Ireland,female,29,Single,Unable to work due to permanent sickness or disability,Public administration and defence; compulsory social security (O),Technical/vocational,Motor vehicles/ships and aircraft,Donegal
Darragh O'Kelly,Ireland,male,47,Separated (including deserted),Employee,Agriculture/forestry and fishing (A),Postgraduate diploma or degree,Business and administration (broad programmes),South Dublin
Adam O'Quinn,Ireland,male,46,Single,Employee,Agriculture/forestry and fishing (A),Lower secondary,Building and civil engineering,Kerry
Sofia O'Kelly,Ireland,female,52,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Ordinary bachelor degree/professional qualification or both,Medicine,Donegal
Saoirse O'Kelly,Ireland,female,54,Re-married (following widowhood),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Management and administration,Wexford
Niamh O'Sullivan,Ireland,female,68,Married (first marriage),Retired,Industry not stated,Upper secondary,Education and teacher training,Dublin City
Sophia O'Brien,Ireland,female,42,Married (first marriage),Employee,Agriculture/forestry and fishing (A),Upper secondary,Education and teacher training,Westmeath
Lauren O'Brien,Ireland,female,28,Single,Employee,Human health and social work activities (Q),Lower secondary,Management and administration,Meath
Luke O'Sullivan,Ireland,male,18,Single,Student or pupil,Construction (F),Upper secondary,Ground transportation,Cork City
Aoibhinn Murphy,Ireland,female,15,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Mother tongue,South Dublin
Hanne Pykkonen,Finland,female,44,Single,Employee,Accommodation and food service activities (I),Upper secondary,Social work and counselling,Meath
Oliver McCarthy,Ireland,male,29,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Hotel/restaurant and catering,Mayo
Lauren O'Byrne,Ireland,female,58,Separated (including deserted),Employee,Accommodation and food service activities (I),Primary,Child care and youth services,Fingal
Rachel O'Brien,Ireland,female,67,Married (first marriage),Retired,Industry not stated,Advanced certificate/completed apprenticeship,Crop and livestock production,Dublin City
Nathan O'Reilly,Ireland,male,28,Married (first marriage),Assisting relative,Agriculture/forestry and fishing (A),Ordinary bachelor degree/professional qualification or both,Other arts,South Dublin
Molly O'Sullivan,Ireland,female,48,Separated (including deserted),Employee,Human health and social work activities (Q),Lower secondary,Other health and welfare,Kerry
Maria O'Neill,Ireland,female,47,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Postgraduate diploma or degree,Nursing and caring,Fingal
Laura O'Sullivan,Ireland,female,55,Married (first marriage),Employee,Professional/scientific and technical activities (M),Ordinary bachelor degree/professional qualification or both,Hotel/restaurant and catering,Louth
Emily O'Connor,Ireland,female,36,Single,Looking after home/family,Other service activities (S),Postgraduate diploma or degree,Electricity and energy,Cork County
David O'Neill,Ireland,male,21,Single,Student or pupil,Information and communication (J),Technical/vocational,Accounting and taxation,Kildare
salif Martins,Niger,male,59,Married (first marriage),Looking after home/family,Financial and insurance activities (K),Upper secondary,Electricity and energy,South Dublin
Ella Kennedy,Ireland,female,31,Single,Employee,Manufacturing (C),Higher certificate,Other security services,Kerry
Niya Rana,Pakistan,female,29,Single,Employee,Education (P),Upper secondary,Hotel/restaurant and catering,South Dublin
Edward McCarthy,Ireland,male,56,Married (first marriage),Looking after home/family,Manufacturing (C),Lower secondary,Other agriculture and veterinary,Cork City
Alexander O'Neill,Ireland,male,28,Single,Employee,Agriculture/forestry and fishing (A),Technical/vocational,Motor vehicles/ships and aircraft,Dublin City
Betty Serrano,United States of America,female,49,Married (first marriage),Employee,Professional/scientific and technical activities (M),Postgraduate diploma or degree,Education and teacher training,Meath
Leah O'Connor,Ireland,female,68,Divorced,Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Medicine,Carlow
Caoimhe Murphy,Ireland,female,54,Married (first marriage),Employee,Manufacturing (C),Upper secondary,Physical sciences (physics/chemistry/earth science),Dublin City
Lexi O'Gallagher,Ireland,female,69,Married (first marriage),Retired,Industry not stated,Primary,Other agriculture and veterinary,Fingal
Piotr Bobik,Poland,male,31,Single,Unemployed having lost or given up previous job,Manufacturing (C),Advanced certificate/completed apprenticeship,Other engineering/manufacturing and construction,Louth
Harry O'Kelly,Ireland,male,51,Married (first marriage),Employer or own account worker,Transportation and storage (H),Advanced certificate/completed apprenticeship,Electricity and energy,Donegal
Ryan McCarthy,Ireland,male,82,Single,Looking after home/family,Public administration and defence; compulsory social security (O),Doctorate (Ph.D),Hair and beauty services,Wicklow
Laura O'Reilly,Ireland,female,16,Single,Student or pupil,Human health and social work activities (Q),Upper secondary,Economics,Kilkenny
Ryan Murphy,Ireland,male,66,Single,Retired,Industry not stated,Technical/vocational,Business and administration (broad programmes),Cork County
Finn O'Sullivan,Ireland,male,73,Married (first marriage),Retired,Industry not stated,Technical/vocational,Crop and livestock production,Carlow
Samuel Murphy,Ireland,male,40,Married (first marriage),Unemployed having lost or given up previous job,Information and communication (J),Honours bachelor degree/professional qualification or both,Physical sciences (physics/chemistry/earth science),Cork County
Madison O'Sullivan,Ireland,female,39,Married (first marriage),Employee,Activities of households as employers producing activities of households for own use (T),Upper secondary,Secretarial and office work,Longford
Daniel Janowiak,Poland,male,15,Single,Student or pupil,Transportation and storage (H),Upper secondary,Other engineering/manufacturing and construction,Fingal
Daniel Ryan,Ireland,male,24,Single,Employee,Administrative and support service activities (N),Upper secondary,Building and civil engineering,Meath
Dmitrij Balodis,Latvia,male,46,Married (first marriage),Employee,Professional/scientific and technical activities (M),Lower secondary,Marketing and advertising,Kildare
Aidan O'Sullivan,Ireland,male,26,Single,Employer or own account worker,Manufacturing (C),Honours bachelor degree/professional qualification or both,Engineering and engineering trades (broad programmes),Cork City
Aoife O'Brien,Ireland,female,39,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Primary,Other engineering/manufacturing and construction,Limerick County
Conor McCarthy,Ireland,male,39,Single,Looking after home/family,Transportation and storage (H),Postgraduate diploma or degree,Other engineering/manufacturing and construction,South Dublin
Rachel Murphy,Ireland,female,35,Single,Employer or own account worker,Administrative and support service activities (N),Higher certificate,Nursing and caring,Laois
Mateusz Bojanowski,Poland,male,45,Married (first marriage),Employer or own account worker,Public administration and defence; compulsory social security (O),Ordinary bachelor degree/professional qualification or both,Accounting and taxation,Dun Laoghaire-Rathdown
Amelia O'Neill,Ireland,female,32,Married (first marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Crop and livestock production,Galway County
Muireann Murphy,Ireland,female,26,Married (first marriage),Assisting relative,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Business and administration (broad programmes),Donegal
Senan O'Reilly,Ireland,male,28,Single,Employee,Professional/scientific and technical activities (M),Honours bachelor degree/professional qualification or both,Mechanics and metalwork,Dublin City
Alex O'Connor,Ireland,male,40,Married (first marriage),Unemployed having lost or given up previous job,Transportation and storage (H),Upper secondary,Physical sciences (physics/chemistry/earth science),Dun Laoghaire-Rathdown
Faye O'Reilly,Ireland,female,37,Single,Looking after home/family,Manufacturing (C),Honours bachelor degree/professional qualification or both,Other social sciences/business and law subjects,Mayo
Darragh O'Brien,Ireland,male,23,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Nursing and caring,South Dublin
Eigintas Paulauskas,Lithuania,male,28,Single,Employee,Water supply; sewerage/waste management and remediation activities (E),Lower secondary,Management and administration,Dublin City
Patryk Babiak,Poland,male,78,Married (first marriage),Looking after home/family,Professional/scientific and technical activities (M),Primary,Crop and livestock production,Kerry
Emma Murphy,Ireland,female,45,Married (first marriage),Retired,Industry not stated,Advanced certificate/completed apprenticeship,Economics,Roscommon
Barry O'Brien,Ireland,male,48,Single,Employee,Education (P),Postgraduate diploma or degree,Crop and livestock production,Kerry
Finn O'Connor,Ireland,male,23,Single,Employee,Public administration and defence; compulsory social security (O),Technical/vocational,Building and civil engineering,Kildare
Darragh O'Sullivan,Ireland,male,54,Married (first marriage),Employee,Professional/scientific and technical activities (M),Primary,Psychology,South Dublin
Ryan O'Brien,Ireland,male,60,Married (first marriage),Looking after home/family,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Nursing and caring,Kerry
Marvin Stokes,United States of America,male,38,Married (first marriage),Looking after home/family,Accommodation and food service activities (I),Advanced certificate/completed apprenticeship,Mechanics and metalwork,Clare
WANG Xu,China,female,54,Single,Employer or own account worker,Education (P),Technical/vocational,Other agriculture and veterinary,Dublin City
Tristan O'Connor,Ireland,male,53,Married (first marriage),Employee,Construction (F),Upper secondary,Other engineering/manufacturing and construction,Dublin City
Lorcan O'Kelly,Ireland,male,38,Married (first marriage),Unemployed having lost or given up previous job,Agriculture/forestry and fishing (A),Advanced certificate/completed apprenticeship,Motor vehicles/ships and aircraft,Cork County
Bobby O'Brien,Ireland,male,39,Married (first marriage),Unemployed having lost or given up previous job,Construction (F),Lower secondary,Electricity and energy,South Dublin
Jennifer O'Kelly,Ireland,female,36,Single,Unemployed having lost or given up previous job,Accommodation and food service activities (I),Lower secondary,Nursing and caring,Kildare
David McCarthy,Ireland,male,59,Married (first marriage),Employee,Manufacturing (C),Lower secondary,Mechanics and metalwork,Monaghan
Benjamin Murphy,Ireland,male,26,Single,Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Physical sciences (physics/chemistry/earth science),Louth
Emily O'Ryan,Ireland,female,84,Widowed,Retired,Industry not stated,Upper secondary,Accounting and taxation,Cork City
Liam O'Brien,Ireland,male,66,Married (first marriage),Retired,Industry not stated,Lower secondary,Crop and livestock production,Dublin City
Evan Byrne,Ireland,male,29,Single,Unemployed having lost or given up previous job,Agriculture/forestry and fishing (A),Technical/vocational,Engineering and engineering trades (broad programmes),South Dublin
Jamie O'Quinn,Ireland,male,51,Separated (including deserted),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Motor vehicles/ships and aircraft,Waterford City
Hannah Murphy,Ireland,female,35,Married (first marriage),Employee,Accommodation and food service activities (I),Doctorate (Ph.D),Other personal services,Galway County
Saoirse O'Brien,Ireland,female,18,Single,Student or pupil,Education (P),Upper secondary,Hotel/restaurant and catering,Kerry
Leo O'Neill,Ireland,male,81,Widowed,Looking after home/family,Manufacturing (C),Postgraduate diploma or degree,Other engineering/manufacturing and construction,Monaghan
Monika Petrauskas,Lithuania,male,36,Married (first marriage),Unable to work due to permanent sickness or disability,Education (P),Upper secondary,Other social sciences/business and law subjects,Dublin City
Jack Moore,Ireland,male,69,Separated (including deserted),Looking after home/family,Professional/scientific and technical activities (M),Upper secondary,Education and teacher training,Louth
Nadine Gallagher,Ireland,female,81,Married (first marriage),Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Mother tongue,Dublin City
Layla Kennedy,Ireland,female,25,Single,Employee,Other service activities (S),Honours bachelor degree/professional qualification or both,Nursing and caring,Wexford
Rory Doherty,Ireland,male,42,Married (first marriage),Employee,Administrative and support service activities (N),Lower secondary,Electricity and energy,Donegal
Michael Aquino,Philippines,male,39,Single,Looking after home/family,Accommodation and food service activities (I),Lower secondary,Motor vehicles/ships and aircraft,Dublin City
Ruby Murphy,Ireland,female,28,Single,Looking after home/family,Public administration and defence; compulsory social security (O),Upper secondary,Other health and welfare,Clare
